Time,RAW_ISP_IN,RAW_LAN_OUT,ISP_uptime
2025-11-10 09:08:55,1495519173,1698916795,502.04
2025-11-11 07:05:30,2036028990,1848904021,523.98
2025-11-11 19:48:37,2568240318,4189902506,536.7
2025-11-12 10:39:28,2994258044,644903968,551.55
2025-11-12 15:28:54,3128225337,900196059,556.37
2025-11-13 07:07:44,3782093766,1395027735,572.02
2025-11-14 07:01:50,17059432,3596754683,595.92
2025-11-14 17:19:07,452181239,2753776230,606.21
2025-11-15 07:55:20,920816001,4233497934,620.81
2025-11-16 14:38:56,3394052525,3768093998,651.54
2025-11-17 08:26:20,3866265269,2960195247,669.33
2025-11-17 21:21:10,424731026,3374665406,682.24
2025-11-18 06:45:17,638809449,1651703523,691.64
2025-11-19 08:03:45,1510672957,1408790360,716.95
2025-11-19 15:09:35,1656239825,2133747184,724.05
2025-11-20 06:53:30,2206394865,1303581844,739.78
2025-11-21 06:50:18,2835231532,2650594799,763.73
2025-11-22 10:34:34,77660735,675828247,791.46
2025-11-23 09:48:16,1256600586,124486672,814.69
2025-11-24 06:57:27,1956572230,123646917,835.85
2025-11-25 09:26:24,2568101135,3044084498,862.33
2025-11-26 09:40:16,3271218314,3295333739,886.56
2025-11-27 20:15:03,177442009,533405369,921.14
2025-11-28 07:42:13,407869118,2586560251,932.59
2025-11-29 09:06:13,945935760,932690114,957.99
2025-11-30 10:15:14,3024229887,1994421805,983.14
2025-12-02 06:55:08,4186814936,3685115189,1027.81
2025-12-03 07:21:58,522386875,563212934,1052.25
2025-12-04 08:13:00,1198335250,1584672505,1077.1
2025-12-05 13:39:35,1898841082,4092982642,1106.55
2025-12-06 09:43:01,2463073715,4140981625,1126.6
2025-12-08 06:51:35,539715521,3124792258,1171.74
2025-12-09 06:52:10,1405377499,2227890831,1195.75
2025-12-10 07:22:44,2043522268,1342167616,1220.26
2025-12-11 07:35:19,2731697353,2542911699,1244.47
2025-12-12 06:54:22,3238677696,2967428611,1267.79
2025-12-13 10:23:09,1104972164,4087292141,1295.27
2025-12-14 08:43:28,1982830366,1474443079,1317.61
2025-12-15 06:58:16,2566257998,1288745795,1339.86
2025-12-16 06:57:26,4237150020,509214634,1363.84
2025-12-17 07:01:56,479049701,2865893166,1387.91
2025-12-18 06:44:05,1756817871,1681274655,1411.62
2025-12-20 11:29:54,3563972765,3580909761,1464.38
2025-12-21 09:28:20,4219404043,4266050547,1486.35
2025-12-22 09:10:21,864009825,3988004447,1510.05
2025-12-27 09:40:43,2302289529,3746892798,1630.56
2026-02-01 10:08:23,3268050179,1088162881,2495.01
