Time,ISP_IN_MB,LAN_OUT_MB,ISP_uptime,Delta_ISP_IN_MB,Delta_LAN_OUT_MB,Delta_Time_hr,Restart
2025-12-27 10:25:39,2217.24,3622.23,1631.31,2217.24,3622.23,,False
2025-12-27 11:00:02,2233.74,3738.78,1631.88,16.49,116.55,0.58,False
2025-12-27 12:00:01,2240.51,3745.31,1632.88,6.77,6.53,1.0,False
2025-12-27 13:00:02,2253.81,3760.69,1633.88,13.3,15.38,1.0,False
2025-12-27 14:00:02,2267.55,3803.12,1634.88,13.74,42.43,1.0,False
2025-12-27 15:00:01,2276.02,3819.13,1635.88,8.47,16.01,1.0,False
2025-12-27 16:00:02,2282.83,3827.94,1636.88,6.81,8.81,1.0,False
2025-12-27 17:00:02,2288.51,3840.69,1637.88,5.68,12.74,1.0,False
2025-12-27 18:00:02,2293.54,3855.19,1638.88,5.03,14.51,1.0,False
2025-12-27 19:00:01,2298.42,3862.9,1639.88,4.88,7.7,1.0,False
2025-12-27 20:00:02,2347.72,4052.46,1640.88,49.3,189.56,1.0,False
2025-12-27 21:00:02,2374.61,1192.6,1641.88,26.89,1236.14,1.0,False
2025-12-27 22:00:02,2399.26,3437.6,1642.88,24.65,2245.0,1.0,False
2025-12-27 23:00:02,2422.56,644.54,1643.88,23.3,1302.94,1.0,False
2025-12-28 00:00:02,2434.14,690.8,1644.88,11.58,46.26,1.0,False
2025-12-28 01:00:02,2439.06,696.07,1645.88,4.91,5.27,1.0,False
2025-12-28 02:00:01,2442.64,700.54,1646.88,3.58,4.46,1.0,False
2025-12-28 03:00:02,2447.08,714.32,1647.88,4.45,13.79,1.0,False
2025-12-28 04:00:02,2451.2,718.59,1648.88,4.12,4.27,1.0,False
2025-12-28 05:00:01,2454.05,721.09,1649.88,2.84,2.5,1.0,False
2025-12-28 06:00:01,2458.97,727.51,1650.88,4.93,6.41,1.0,False
2025-12-28 07:00:01,2502.24,737.06,1651.88,43.26,9.56,1.0,False
2025-12-28 08:00:02,2506.39,741.12,1652.88,4.15,4.06,1.0,False
2025-12-28 09:00:02,2515.04,762.02,1653.88,8.65,20.9,1.0,False
2025-12-28 10:00:02,2519.41,767.63,1654.88,4.38,5.62,1.0,False
2025-12-28 11:00:02,2523.96,772.66,1655.88,4.55,5.03,1.0,False
2025-12-28 12:00:02,2529.45,782.93,1656.88,5.49,10.27,1.0,False
2025-12-28 13:00:02,2536.1,792.15,1657.88,6.65,9.22,1.0,False
2025-12-28 14:00:01,2543.26,841.5,1658.88,7.16,49.34,1.0,False
2025-12-28 15:00:02,2586.97,910.24,1659.88,43.71,68.75,1.0,False
2025-12-28 16:00:03,2600.38,954.18,1660.88,13.41,43.93,1.0,False
2025-12-28 17:00:01,2605.98,959.57,1661.88,5.6,5.4,1.0,False
2025-12-28 18:00:02,2608.67,962.39,1662.88,2.69,2.81,1.0,False
2025-12-28 19:00:01,2611.65,964.92,1663.88,2.98,2.53,1.0,False
2025-12-28 20:00:02,2647.24,996.43,1664.88,35.58,31.51,1.0,False
2025-12-28 21:00:01,2673.13,1779.19,1665.88,25.89,782.76,1.0,False
2025-12-28 22:00:01,2691.07,2224.8,1666.88,17.94,445.61,1.0,False
2025-12-28 23:00:02,2753.71,2248.71,1667.88,62.64,23.92,1.0,False
2025-12-29 00:00:02,2759.36,2256.58,1668.88,5.65,7.87,1.0,False
2025-12-29 01:00:02,2764.6,2266.46,1669.88,5.24,9.87,1.0,False
2025-12-29 02:00:01,2772.65,2289.12,1670.88,8.05,22.66,1.0,False
2025-12-29 03:00:01,2784.25,2308.13,1671.88,11.6,19.01,1.0,False
2025-12-29 04:00:02,2789.98,2350.08,1672.88,5.73,41.96,1.0,False
