Time,RAW_ISP_IN,RAW_LAN_OUT,ISP_uptime
2025-11-03 18:00:00,65844720,792363001,342.89
2025-11-03 19:02:35,119134121,849207878,343.94
2025-11-03 20:04:27,156491969,889803417,345.08
2025-11-03 21:01:16,184243223,917470911,345.91
2025-11-03 21:51:23,200521285,934607684,346.75
2025-11-03 22:00:01,209374948,943644331,346.89
2025-11-03 23:00:14,276651689,1012441003,347.9
2025-11-04 02:07:10,373985006,1112969860,351.01
2025-11-04 03:16:44,384623494,1124653536,352.17
2025-11-04 04:02:19,389812837,1130437986,352.93
2025-11-04 05:06:52,396367004,1137737609,354.01
2025-11-04 07:00:01,407620891,1150345611,355.89
2025-11-04 08:01:35,472629001,1217051883,356.92
2025-11-04 09:00:08,528756742,1274631359,357.89
2025-11-04 10:01:28,538594279,1285009245,358.92
2025-11-04 11:05:51,557871534,1305107664,359.99
2025-11-04 12:00:25,592880221,1340871302,360.9
2025-11-04 13:04:37,603198180,1351606030,361.97
2025-11-04 15:54:35,628863164,1378804640,364.8
2025-11-04 16:00:01,637814110,1388530123,364.89
2025-11-04 17:16:25,730929484,1485953183,366.17
2025-11-04 18:08:09,754025156,1510678163,367.03
2025-11-04 19:03:21,813610982,1574872901,367.95
2025-11-04 20:06:03,853964388,1616426490,368.99
2025-11-04 21:00:02,884989111,1650762864,369.89
2025-11-04 22:00:02,916463904,1683381318,370.89
2025-11-04 23:00:01,952652218,1720817768,371.89
2025-11-05 00:00:02,1042739836,1813034403,372.89
2025-11-05 01:00:01,1049151117,1820037303,373.89
2025-11-05 02:00:01,1054466438,1826030589,374.89
2025-11-05 03:00:01,1062946453,1835520325,375.89
2025-11-05 04:00:00,1070964020,1844815976,376.89
2025-11-05 05:00:00,1078891014,1853254458,377.89
2025-11-05 06:00:01,1086891086,1862340414,378.89
2025-11-05 07:00:01,1099416303,1876877332,379.89
2025-11-05 08:00:03,1125495685,1904021745,380.89
2025-11-05 09:00:01,1157464413,1936683281,381.89
2025-11-05 10:00:01,1172811085,1952983964,382.89
2025-11-05 11:00:01,1195751317,1978060396,383.89
2025-11-05 12:00:02,1223709961,2007867668,384.89
2025-11-05 13:00:01,1242274606,2027353113,385.89
2025-11-05 14:00:02,1277873370,2065794094,386.89
2025-11-05 15:02:33,1334555699,2123404083,387.93
2025-11-06 11:03:31,1888574509,0,407.95
2025-11-06 19:14:54,2255945905,0,416.14
2025-11-07 16:32:29,3181175447,0,437.43
2025-11-07 20:17:51,3465885484,0,441.19
2025-11-08 17:17:42,4256151191,0,462.19
2025-11-10 08:30:06,1477387751,0,501.39
2025-11-10 08:47:31,1487581985,1670642242,501.68
